"","discharge","TN","TP"
"854",459648000,19523640729.6,1561891258.368
"855",375494400,15949199738.88,1275935979.1104
"856",243907200,6285070974.8736,580160397.68064
"857",332899200,8578242460.5696,791837765.59104
"858",214790400,5534780886.8352,510902851.09248
"859",832464000,21451172101.632,1980108193.9968
"860",646444800,16657775782.5024,1537640841.46176
"861",481524480,16362278874.3168,2045284859.2896
"862",427334400,14520891285.504,1815111410.688
"863",1150848000,39105999175.68,4888249896.96
"864",1277856000,43421751336.96,5427718917.12
"865",954979200,32450346012.672,4056293251.584
"866",1364256000,50220773591.04,6181018288.128
"867",1502496000,55309642352.64,6807340597.248
"868",1745280000,64246968115.2,7907319152.64
"869",728092800,26802435658.752,3298761311.8464
"870",900028800,35680309733.376,4077749683.8144
"871",1516320000,60112262246.4,6869972828.16
"872",1370304000,54323674030.08,6208419889.152
"873",1503360000,59598482227.2,6811255111.68
"874",2896992000,131253668904.96,11484696029.184
"875",1562976000,70813566074.88,6196187031.552
"876",508723200,23048660975.616,2016757835.3664
"877",832550400,37720261066.752,3300522843.3408
"878",581212800,26332938584.064,2304132126.1056
"879",563673600,23942148894.72,1915371911.5776
"880",455241600,19336478008.32,1546918240.6656
"881",693576000,29459779315.2,2356782345.216
"882",704419200,29920346403.84,2393627712.3072
"883",774316800,26311408754.688,1469053655.47008
"884",851040000,28918475366.4,1614614874.624
"885",822960000,27964312473.6,1561340779.776
"886",768441600,26111768518.656,1457907075.62496
"887",888451200,35221332916.224,1635276171.1104
"888",802569600,31816683988.992,1477203185.2032
"889",853200000,33823851264,1570393094.4
"890",780451200,30939832756.224,1436492235.1104
"891",839289600,28519194894.336,1212065783.00928
"892",846374400,28759937531.904,1222297345.10592
"893",859420800,29203256291.328,1241138392.38144
"894",884131200,30042919636.992,1276824084.57216
"895",981504000,25013747220.48,1556410938.1632
"896",1101859200,28081013935.104,1747263089.29536
"897",1401494400,35717252963.328,2222406851.05152
"898",1416096000,36089376491.52,2245561203.9168
"899",1367539200,34851900616.704,2168562705.03936
"900",1368576000,38753692876.8,2286467879.7312
"901",1162080000,32906386944,1941476829.696
"902",1082246400,30645754859.52,1808099536.71168
"903",1356480000,38411172864,2266259198.976
"904",1015977600,40276928305.152,4027692830.5152
"905",1229472000,48740597821.44,4874059782.144
"906",1079740800,42804725999.616,4280472599.9616
"907",1095724800,43438388023.296,4343838802.3296
"908",900633600,35704286134.272,3060367382.9376
"909",517190400,20503247966.208,1757421254.2464
"910",677808000,26870695004.16,2303202428.928
"911",1162598400,46089492922.368,3950527964.7744
"912",196128000,7775204290.56,666446082.048
"913",470880000,13333814784,1600057774.08
"914",555828480,15739283902.464,1888714068.29568
"915",347587200,9842557224.96,1181106866.9952
"916",831600000,23548250880,2825790105.6
"917",1073779200,36487189020.672,4560898627.584
"918",926208000,31472696033.28,3934087004.16
"919",451785600,15351746973.696,1918968371.712
"920",1483833600,50420903141.376,6302612892.672
"921",1917216000,65147306434.56,8143413304.32
"922",2052864000,63943593246.72,5754923392.2048
"923",1391904000,43355693905.92,3902012451.5328
"924",1504224000,46854291179.52,4216886206.1568
"925",2676672000,83374264258.56,7503683783.2704
"926",1370304000,58203936460.8,4268288673.792
"927",693360000,29450604672,2159711009.28
"928",285897600,12143557739.52,890527567.5648
"929",50664960,2152004308.992,157813649.32608
"930",461894400,18311119884.288,1569524561.5104
"931",450213120,17848032826.9824,1529831385.16992
"932",348494400,13815544716.288,1184189547.1104
"933",422841600,16762929426.432,1436822522.2656
"934",552355200,21897304418.304,1876911807.2832
"935",440035200,13706427626.496,1495246650.1632
"936",990835200,30863010410.496,3366873862.9632
"937",833155200,25951518084.096,2831074700.0832
"938",889315200,27700816720.896,3021907278.6432
"939",854928000,31471472747.52,2178794267.136
"940",832809600,30657253745.664,2122425259.3152
"941",834019200,30701781347.328,2125507939.4304
"942",1932249600,71129663115.264,4924361292.5952
"943",2191104000,86863075246.08,6824955912.192
"944",6807456000,269871518085.12,21204190706.688
"945",5222016000,207019095736.32,16265786093.568
"946",4744224000,188077739028.48,14777536637.952
"947",4777920000,189413567078.4,14882494556.16
"948",4103136000,81331377039.36,6855073207.6032
"949",2852064000,56532928112.64,4764918226.6368
"950",2522016000,49990795868.16,4213509937.4592
"951",1793664000,35553577328.64,2996658660.5568
"952",1827360000,56919486412.8,6726848394.24
"953",1693440000,52748081971.2,6233864232.96
"954",1718496000,53528538286.08,6326099979.264
"955",1696896000,52855731118.08,6246586404.864
"956",1401408000,43651729059.84,7936678010.88
"957",1.404e+09,43732465920,7951357440
"958",1322784000,41202710968.32,7491401994.24
"959",1.404e+09,43732465920,7951357440
"960",2308608000,71909630115.84,13074478202.88
"961",2816640000,111661524172.8,10368570101.76
"962",2660256000,105461911941.12,9792891823.104
"963",5770656000,228769116549.12,21242846536.704
"964",4772736000,189208055070.72,17569319399.424
"965",3829248000,151804869672.96,11927525474.304
"966",3356640000,133069024972.8,10455423390.72
"967",2040768000,80903227023.36,6356682123.264
"968",2049408000,81245747036.16,6383594409.984
"969",1843776000,73093770731.52,5743081986.048
"970",1874880000,74326842777.6,7963590297.6
"971",1807488000,71655186677.76,7677341429.76
"972",1871424000,74189834772.48,7948910868.48
"973",1670976000,66243370475.52,7097503979.52
"974",1227744000,34765781299.2,4171893755.904
"975",2545344000,72075996979.2,8649119637.504
"976",2223936000,62974750924.8,7556970110.976
"977",2896128000,82009077350.4,9841089282.048
"978",3306528000,93630292070.4,11235635048.448
"979",4370112000,148497104977.92,10271049760.9728
"980",4083264000,138749964042.24,9596872512.9216
"981",2966976000,100818319196.16,6973267077.7344
"982",1848096000,62798597775.36,4343569679.4624
"983",1659744000,56398366679.04,3195907445.1456
"984",995673600,33833148235.776,1917211733.36064
"985",299894400,10190459695.104,577459382.72256
"986",403056000,13695907368.96,776101417.5744
"987",354672000,11047493698.56,863713143.7056
"988",391651200,12199339570.176,953766548.21376
"989",389923200,12145514996.736,949558445.19936
"990",392342400,12220869399.552,955449789.41952
"991",366422400,11413500797.952,892328244.20352
"992",357350400,9613068816.384,809521584.5376
"993",328924800,8848392887.808,745127822.1312
"994",341755200,9193542964.992,774193091.7888
"995",311679360,8384473996.1856,706060968.09984
"996",464572800,11576589255.4752,736692043.53024
"997",402364800,10026441540.4032,638046279.84384
"998",388713600,9686270236.2624,616399015.03488
"999",381888000,9516184584.192,605575382.6304
"1000",460857600,14355013736.448,1148401098.91584
"1001",424656000,13227388922.88,1058191113.8304
"1002",406598400,12664922130.432,1013193770.43456
"1003",396057600,12336592232.448,986927378.59584
"1004",369014400,11494237658.112,919539012.64896
"1005",430704000,13415774929.92,1024477358.2848
"1006",291772800,9088279225.344,694014049.93536
"1007",168963840,5262966790.9632,401899282.219008
"1008",212034240,6604544283.9552,504347018.047488
"1009",269222400,8385868541.952,640375415.93088
"1010",162527040,5062470254.8992,386588637.646848
"1011",163010880,8308703676.2112,784710902.75328
"1012",198028800,10093575462.912,953282127.0528
"1013",215421120,10980066187.4688,1037006251.03872
