eventName,eventYear,region,originalGridCode,monitoringProgramme,programmeName,occurredBefore,occurredBeforeText,waterDiscoloration,highPhyto,seafoodToxin,massMortal,foamMucil,otherEffect,otherEffectText,days,months,locationText,latitude,longitude,additionalLocationInfo,eventDate,initialDate,finalDate,quarantineStartDate,quarantineEndDate,additionalDateInfo,causativeKnown,pigmentAnalysisInfo,additionalAlgaeInfo,toxicityDetected,toxicityRange,humansAffected,fishAffected,naturalFishAffected,aquacultureFishAffected,planktonicAffected,benthicAffected,shellfishAffected,birdsAffected,otherTerrestrialAffected,aquaticMammalsAffected,seaweedAffected,effectsComments,unexplainedToxicity,toxicityComments,transvectors,eventBiblio,syndromeText,active,created_at,updated_at,checked_at,countryName,syndromeName,speciesContaining,additionalHarmfulEffectInfo,toxinAssayComments,assaytype,concentration,toxinType,toxin,causativeSpeciesName0,cellsPerLitre0,comments0,additionalSpeciesName0,additionalCellsPerLitre0,additionalComments0,causativeSpeciesName1,cellsPerLitre1,comments1,causativeSpeciesName2,cellsPerLitre2,comments2,causativeSpeciesName3,cellsPerLitre3,comments3,additionalSpeciesName1,additionalCellsPerLitre1,additionalComments1,additionalSpeciesName2,additionalCellsPerLitre2,additionalComments2
PF-19-006,2019,Society archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,MOOREA,,,,3/31/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Unknown,,,,4/11/2019 12:48,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-005,2019,Society archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,RAIATEA,,,,2/10/2019,,,,,,0,,,1,CFP monitoring programme of French Polynesia,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Ctenochaetus striatus,,,,4/11/2019 12:47,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-004,2019,Society archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,TAHITI,,,,1/31/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,,,,,4/11/2019 12:45,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-003,2019,Society archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,TAHITI,,,,1/1/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Unknown,,,,4/11/2019 12:44,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-002,2019,Society archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,TAHITI,,,,1/17/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Crenimugil crenilabis,,,,4/11/2019 12:43,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-001,2019,Society archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,TAHITI,,,,1/18/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Lethrinidae,,,,4/11/2019 12:42,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-18-118,2018,Tuamotu archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,ANAA,,,,2/16/2018,,,,,,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,,NULL,,Lethrinidae,,,,2/20/2019 6:49,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-18-117,2018,tUAMOTU ARCHIPELAGO,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,ANAA,,,,12/4/2018,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Lutjanus monostigma,,,,2/20/2019 6:47,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-18-116,2018,Australes archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,RAIVAVAE,,,,4/6/2018,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Balistidae,,,,2/19/2019 10:04,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-18-115,2018,Tuamotu archipelago,,1,CFP moniroting programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,RANGIROA,,,,12/1/2018,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Lethrinus xanthochilus,,,,2/5/2019 9:35,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-18-114,2018,Society archipelago,,1,CFP moniroting programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,TAHITI,,,,12/1/2018,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Unknown,,,,2/5/2019 9:26,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
