"","Real","SVM","NB","RVM","NET"
"868",0,0,0,0,0
"869",0,0,1,0,0
"870",0,0,1,1,0
"871",0,0,0,0,0
"872",0,0,1,1,0
"873",0,0,0,0,1
"874",0,1,1,1,1
"875",0,0,1,1,0
"876",0,0,0,0,0
"877",0,0,0,0,1
"878",1,1,0,0,1
"879",1,1,1,1,0
"880",0,0,0,0,0
"881",0,0,1,1,1
"882",0,0,0,1,0
"883",1,1,1,1,1
"884",0,0,0,0,0
"885",0,0,0,0,1
"886",0,1,0,0,0
"887",0,0,1,0,0
"888",0,0,0,0,0
"889",1,1,1,0,1
"890",0,0,1,0,1
"891",0,0,1,1,1
"892",0,0,0,0,0
"893",0,0,0,0,0
"894",1,1,1,0,0
"895",1,0,0,1,0
"896",0,0,0,0,0
"897",1,1,0,0,1
"898",1,1,1,0,0
"899",0,0,1,0,0
"900",1,0,1,1,0
"901",0,0,1,0,0
"902",1,0,0,0,1
"903",0,0,0,0,0
"904",0,0,1,0,0
"905",0,0,0,1,0
"906",0,1,1,1,1
"907",1,0,1,1,0
"908",0,0,0,0,0
"909",1,1,1,1,1
"910",0,0,0,0,0
"911",0,0,0,1,0
"912",1,1,0,0,0
"913",0,0,0,0,0
"914",0,1,0,0,1
"915",1,0,1,0,0
"916",0,0,0,0,0
"917",0,0,0,0,0
"918",0,0,0,0,1
"919",0,0,1,1,1
"920",0,1,1,1,1
"921",0,0,0,0,0
"922",0,0,1,1,0
"923",1,1,1,1,1
"924",0,0,1,0,1
"925",1,1,1,1,1
"926",0,0,1,0,0
"927",0,0,0,0,0
"928",0,1,1,1,0
"929",1,1,0,1,0
"930",0,0,0,0,0
"931",1,1,1,0,0
"932",0,0,0,0,1
"933",0,0,0,0,0
"934",1,1,0,1,0
"935",0,0,1,1,1
"936",0,0,0,0,0
"937",0,0,0,0,0
"938",1,1,1,1,1
"939",0,0,0,0,0
"940",0,1,1,1,1
"941",0,0,0,0,0
"942",1,1,1,0,1
"943",0,1,1,0,1
"944",1,0,1,0,0
"945",0,0,0,0,0
"946",0,0,0,0,0
"947",0,1,1,1,0
"948",0,0,1,0,1
"949",0,0,1,1,0
"950",0,1,1,1,0
"951",0,0,0,0,0
"952",1,1,1,0,1
"953",0,1,1,0,0
"954",0,0,1,1,0
"955",0,0,1,0,0
"956",0,0,0,0,0
"957",0,0,1,0,1
"958",0,0,0,0,0
"959",0,0,0,0,0
"960",0,0,0,0,1
"961",0,0,0,0,0
"962",1,1,0,0,0
"963",0,0,1,0,0
"964",0,0,0,1,1
"965",0,0,0,0,0
"966",0,0,0,0,0
"967",0,0,1,0,0
"968",0,0,0,0,0
"969",1,1,0,0,1
"970",1,1,1,1,0
"971",0,0,0,0,0
"972",1,1,1,1,0
"973",0,1,1,1,0
"974",0,0,1,0,0
"975",0,0,1,1,0
"976",0,0,1,1,0
"977",0,0,1,0,0
"978",1,1,1,1,0
"979",0,0,1,1,1
"980",1,0,1,1,0
"981",1,0,1,1,0
"982",0,0,1,1,1
"983",0,0,1,1,1
"984",0,0,1,1,0
"985",0,1,1,0,0
"986",0,1,0,0,0
"987",0,0,1,0,0
"988",0,0,1,1,1
"989",0,0,1,1,0
"990",0,1,0,0,1
"991",1,1,1,1,0
"992",0,0,1,0,0
"993",1,0,1,1,1
"994",1,1,1,1,1
"995",1,1,1,1,1
"996",0,0,0,0,0
"997",0,0,1,1,1
"998",0,0,1,1,0
"999",0,0,0,0,0
"1000",0,0,1,1,0
"1001",0,0,1,1,0
"1002",0,0,1,0,1
"1003",0,0,1,0,1
"1004",0,1,1,1,0
"1005",1,1,1,0,0
"1006",0,0,0,0,0
"1007",0,1,0,1,1
"1008",1,0,1,1,0
"1009",0,1,0,0,0
"1010",0,0,0,0,0
"1011",1,1,1,1,0
"1012",0,0,0,0,0
"1013",0,0,0,0,0
"1014",0,0,1,1,0
"1015",1,0,0,0,1
"1016",1,1,0,0,0
"1017",1,0,0,0,1
"1018",1,1,1,1,0
"1019",0,0,1,0,0
"1020",1,1,1,1,0
"1021",0,0,0,0,0
"1022",1,0,1,1,0
"1023",1,1,1,1,0
"1024",0,0,1,1,1
"1025",0,0,0,0,0
"1026",1,1,0,1,0
"1027",0,0,1,1,1
"1028",0,0,1,0,1
"1029",0,0,1,0,0
"1030",0,0,0,0,0
"1031",0,1,1,1,1
"1032",0,0,1,0,1
"1033",0,1,1,0,0
"1034",0,1,1,0,0
"1035",0,0,1,0,0
"1036",0,0,1,0,1
"1037",0,0,0,0,0
"1038",0,0,1,1,0
"1039",0,0,0,0,0
"1040",1,1,1,1,0
"1041",0,1,1,0,0
"1042",0,0,1,0,0
"1043",1,1,1,1,0
"1044",0,0,0,0,0
"1045",0,0,1,1,0
"1046",1,0,1,0,0
"1047",0,0,0,0,0
"1048",0,0,1,1,0
"1049",1,1,1,1,0
"1050",0,1,0,0,0
"1051",1,1,1,1,1
"1052",0,0,1,1,0
"1053",0,1,1,0,0
"1054",1,0,0,0,0
"1055",1,1,0,1,0
"1056",1,1,1,0,0
"1057",0,0,0,0,0
"1058",1,0,1,1,0
"1059",1,1,1,0,0
"1060",1,1,1,0,0
"1061",0,0,1,1,0
"1062",0,0,0,0,0
"1063",0,0,0,0,1
"1064",1,1,1,1,1
